NEIGHBORHOOD	NUM_EST	NUM_EMP	PAY_ANN	PAY_QTR1
Allston/Brighton	1230	21554	1543275	364162
Back Bay/Beacon Hill	3377	106809	15947996	4634691
Central Boston	5193	167140	25844167	7318903
Charlestown	503	12664	999317	230729
Dorchester	1648	23776	1419043	334213
East Boston	853	20398	1217494	265088
Fenway/Kenmore	1254	112831	8997755	2052613
Hyde Park	458	4965	275167	60201
Jamaica Plain	703	13852	965731	226731
Mattapan	242	1899	81688	18476
Roslindale	455	5372	250446	55707
Roxbury	865	13006	886976	194998
South Boston	1798	68890	10619740	2950757
South End	894	20560	1402286	302364
West Roxbury	493	5323	248980	57943
